"TALHAO";"AREA_TL";"DATA_PL";"ESPAC";"PARCELA";"DATA_MD";"AREA_PC";"COVA";"DAP";"HT";"HD";"HT_EST";"VCC";"VSC";"AS";"I"
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;42;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;43;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;44;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;45;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;46;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;47;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;48;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;49;10;NA;25,04;20,3607415310939;0,0811392467770924;0,0702439471178762;0,00785398163397448;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;50;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;51;14,5;NA;25,04;24,2206838497651;0,191649978441468;0,167718933267414;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;52;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;53;13;NA;25,04;23,1662058532857;0,149750796993759;0,130636738042932;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;54;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;55;14,5;NA;25,04;24,2206838497651;0,191649978441468;0,167718933267414;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;56;13;NA;25,04;23,1662058532857;0,149750796993759;0,130636738042932;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;57;13;NA;25,04;23,1662058532857;0,149750796993759;0,130636738042932;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;58;13,5;NA;25,04;23,5383524690201;0,163160622142123;0,142491095567944;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;59;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;60;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;61;13,5;NA;25,04;23,5383524690201;0,163160622142123;0,142491095567944;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;62;15,5;NA;25,04;24,8310683829736;0,222350192068106;0,194962414255772;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;63;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;64;14,5;NA;25,04;24,2206838497651;0,191649978441468;0,167718933267414;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;65;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;66;13,5;NA;25,04;23,5383524690201;0,163160622142123;0,142491095567944;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;67;12;NA;25,04;22,3502467492672;0,124613101400728;0,108454872360835;0,0113097335529233;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;68;16,5;25,9;25,04;25,9;0,259981980552469;0,228376944945431;0,0213824649984955;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;69;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;70;15,5;NA;25,04;24,8310683829736;0,222350192068106;0,194962414255772;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;71;13;NA;25,04;23,1662058532857;0,149750796993759;0,130636738042932;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;72;13,5;NA;25,04;23,5383524690201;0,163160622142123;0,142491095567944;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;73;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;74;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;75;13,5;NA;25,04;23,5383524690201;0,163160622142123;0,142491095567944;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;76;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;77;13,5;NA;25,04;23,5383524690201;0,163160622142123;0,142491095567944;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;78;12,5;NA;25,04;22,7708933075355;0,136900779868909;0,119290802786195;0,0122718463030851;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;79;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;80;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;81;15,5;NA;25,04;24,8310683829736;0,222350192068106;0,194962414255772;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;82;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;83;13;NA;25,04;23,1662058532857;0,149750796993759;0,130636738042932;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;84;14,5;NA;25,04;24,2206838497651;0,191649978441468;0,167718933267414;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;85;14,5;NA;25,04;24,2206838497651;0,191649978441468;0,167718933267414;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;86;15,5;NA;25,04;24,8310683829736;0,222350192068106;0,194962414255772;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;87;15;NA;25,04;24,534152107882;0,206724846696151;0,18108943788435;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;88;14;NA;25,04;23,8892681085252;0,177127805944029;0,154852329730369;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;89;12;NA;25,04;22,3502467492672;0,124613101400728;0,108454872360835;0,0113097335529233;66,1
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;90;16;24,8;25,04;24,8;0,235828052031195;0,206967964866555;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;1;13;23,2;23,76;23,2;0,14994895503959;0,130809792319431;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;2;14,5;23,6;23,76;23,6;0,187189315716417;0,163811052845565;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;3;14,5;24,2;23,76;24,2;0,191501502408178;0,167588855337863;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;4;15;25,6;23,76;25,6;0,214855756639195;0,188219986228175;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;5;12;23,6;23,76;23,6;0,130918095841105;0,113948459284135;0,0113097335529233;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;6;15;25;23,76;25;0,210282558980776;0,184209400934348;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;7;13,5;22,4;23,76;22,4;0,155986102022749;0,136218767422653;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;8;15;25,2;23,76;25,2;0,211808078580622;0,185547234757216;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;9;NA;NA;23,76;NA;NA;NA;NA;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;10;14;23,5;23,76;23,5;0,174507521486974;0,152559086916413;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;11;14;25;23,76;25;0,184582944888978;0,161377182476639;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;12;15,5;24,6;23,76;24,6;0,220472362348545;0,193314093562504;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;13;15;24,1;23,76;24,1;0,203403548771922;0,178176853135313;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;14;16;25,6;23,76;25,6;0,242718951231257;0,213022273455392;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;15;15,5;24,8;23,76;24,8;0,22209780251529;0,194740870957866;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;16;13;22,7;23,76;22,7;0,147014357515959;0,128246991743012;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;17;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;18;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;19;16;NA;23,76;24,2555795903753;0,231126844053373;0,202837618276272;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;20;16;NA;23,76;24,2555795903753;0,231126844053373;0,202837618276272;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;21;14,5;NA;23,76;23,3940180778323;0,185706592714919;0,162512096929378;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;22;17,5;NA;23,76;24,9934317613423;0,281311273918017;0,247521279621169;0,0240528187540469;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;23;17;NA;23,76;24,7595640935261;0,264057030942933;0,232144614064606;0,0226980069221863;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;24;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;25;16,5;NA;23,76;24,5139134718508;0,24732825752613;0,217249646792141;0,0213824649984955;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;26;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;27;13;NA;23,76;22,3755300175725;0,145106774820473;0,126581118909939;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;28;13;NA;23,76;22,3755300175725;0,145106774820473;0,126581118909939;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;29;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;30;15,5;NA;23,76;23,9835698383392;0,215454741473331;0,188909803716688;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;31;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;32;16;NA;23,76;24,2555795903753;0,231126844053373;0,202837618276272;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;33;14,5;NA;23,76;23,3940180778323;0,185706592714919;0,162512096929378;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;34;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;35;13;NA;23,76;22,3755300175725;0,145106774820473;0,126581118909939;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;36;13,5;NA;23,76;22,7349750567833;0,158100738907799;0,138067457760358;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;37;12;NA;23,76;21,5874200637585;0,120748641126696;0,105087889519696;0,0113097335529233;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;38;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;39;15,5;24,5;23,76;24,5;0,219659182705809;0,19260030577994;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;40;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;41;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;42;12;NA;23,76;21,5874200637585;0,120748641126696;0,105087889519696;0,0113097335529233;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;43;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;44;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;45;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;46;17;NA;23,76;24,7595640935261;0,264057030942933;0,232144614064606;0,0226980069221863;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;47;9;NA;23,76;18,4807470806955;0,0608989768902496;0,0525576577824144;0,00636172512351933;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;48;13,5;NA;23,76;22,7349750567833;0,158100738907799;0,138067457760358;0,0143138815279185;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;49;17;24,7;23,76;24,7;0,263480698320873;0,231637380846548;0,0226980069221863;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;50;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;51;13;NA;23,76;22,3755300175725;0,145106774820473;0,126581118909939;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;52;15,5;22,3;23,76;22,3;0,201688701643059;0,176827045068489;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;53;12,5;NA;23,76;21,9937097147669;0,132655258175439;0,115587418352248;0,0122718463030851;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;54;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;55;16;NA;23,76;24,2555795903753;0,231126844053373;0,202837618276272;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;56;17;24,2;23,76;24,2;0,258637657008817;0,22737504415085;0,0226980069221863;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;57;15,5;NA;23,76;23,9835698383392;0,215454741473331;0,188909803716688;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;58;14,5;NA;23,76;23,3940180778323;0,185706592714919;0,162512096929378;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;59;15,5;NA;23,76;23,9835698383392;0,215454741473331;0,188909803716688;0,0188691908756237;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;60;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;61;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;62;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;63;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;64;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;65;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;66;13;NA;23,76;22,3755300175725;0,145106774820473;0,126581118909939;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;67;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;68;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;69;15;NA;23,76;23,6967874852818;0,20031396414261;0,175467514066677;0,0176714586764426;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;70;13;NA;23,76;22,3755300175725;0,145106774820473;0,126581118909939;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;71;11,5;NA;23,76;21,1543090255096;0,109389455549223;0,0950840991140239;0,0103868907109313;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;72;13;NA;23,76;22,3755300175725;0,145106774820473;0,126581118909939;0,0132732289614169;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;73;14,5;23,1;23,76;23,1;0,18358805412831;0,16065614740365;0,0165129963854313;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;74;14;NA;23,76;23,0739137451085;0,1716347770265;0,150044937256771;0,01539380400259;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;75;16;NA;23,76;24,2555795903753;0,231126844053373;0,202837618276272;0,0201061929829747;66,1
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;76;9,5;NA;23,76;19,0952828563572;0,0694803833648664;0,0600585242432943;0,00708821842466197;66,1
