"ARVORE";"DAP";"HT";"VCC";"VSC"
114;12,5732405;22,82;0,142148143239107;0,120480313514357
115;12,89155039;23,5;0,146704251890684;0,127714225282431
116;13,20986028;22,9;0,150532326161466;0,128157850418407
117;13,36901522;23,5;0,159063528468056;0,138280143447852
118;13,52817016;22,63;0,156014418177541;0,132683050838004
119;13,84648005;23,5;0,157250952615006;0,133800914922758
120;14,64225476;25,1;0,187976908534394;0,1614324836697
121;15,27887454;25,81;0,222617479326059;0,194109895167298
122;15,27887454;24,52;0,203227930979326;0,179559899939237
123;15,27887454;25,6;0,217575649629356;0,189633532288019
124;15,59718442;26,35;0,224794420504555;0,196781172634266
125;15,75633937;26,81;0,241307442140607;0,213348703128079
126;16,07464925;26,5;0,254559379019225;0,225309737346238
127;16,2338042;25,8;0,242795640345646;0,218399273029533
128;16,2338042;27,51;0,277305206693705;0,243437186678564
129;16,2338042;26,5;0,249182329277622;0,216370461918562
130;16,71126902;27,95;0,298758497248358;0,263811926353032
131;17,02957891;27,8;0,257076016530347;0,222881759785662
132;17,66619868;27,81;0,324932920189356;0,286834672298737
133;17,82535363;28,62;0,353736582853039;0,312197927869023
134;18,62112834;27,85;0,353384352988382;0,305059545318087
135;18,78028328;28,03;0,371458784145813;0,322281890190683
136;18,78028328;27,3;0,348632284897388;0,307415110005434
137;18,93943823;27,6;0,350594963720896;0,311924841940205
138;19,09859317;27,53;0,374655212272179;0,332859619242126
139;19,25774811;28,99;0,40922117907298;0,366957698885147
140;19,73521294;28,6;0,403015131033945;0,359211604375211
141;20,05352283;27,9;0,387084715962749;0,347402547725766
142;20,05352283;28,71;0,419062723954264;0,3735539008296
143;20,53098766;28,7;0,478440150675167;0,427117439037972
144;20,84929755;28,4;0,454559548350369;0,404955149993155
145;21,32676237;29,2;0,475588094043973;0,421803087594172
146;21,32676237;29,3;0,498910361031568;0,448141066661288
147;21,96338215;29,75;0,538179157539345;0,478179341004625
148;22,28169203;30,35;0,562615906917701;0,504320562346546
149;22,44084698;29,8;0,561871559244036;0,500848751563788
150;22,60000192;30,1;0,545128558656789;0,488611627102383
151;22,60000192;28,88;0,471448275093547;0,416698215205108
152;23,23662169;29,1;0,554965527798987;0,492292556924814
153;23,55493158;29,91;0,589143454941214;0,517592410492724
154;23,87324146;29,73;0,610520351145751;0,54118507051956
155;24,19155135;29,85;0,596050182710512;0,534029438217901
156;24,19155135;30,2;0,628067084161921;0,558203593639473
157;24,19155135;30,86;0,687261681568401;0,61689568361117
158;24,50986124;30,35;0,62287614616049;0,554715090593402
159;24,50986124;30,86;0,706586274867083;0,643636418534171
160;24,50986124;31,25;0,690732154647368;0,61484640887781
161;24,82817112;29,9;0,594650017024188;0,530820026664243
162;26,10141067;29,92;0,700783982798066;0,625685099875553
163;6,68450761;13,9;0,0253020549657782;0,0217781345984405
165;6,68450761;13,88;0,0273101924590262;0,0233473406752219
166;7,002817496;14,3;0,0300459664599722;0,0261065328185302
167;7,002817496;15;0,0327341929194844;0,0283751995430649
168;7,161972439;15,9;0,0361739291283608;0,0314697897334649
169;7,639437268;15,5;0,0390868624740939;0,0339127275019035
170;7,639437268;16,2;0,0373964380325987;0,0321236813775983
171;8,116902098;15,6;0,0463837187276908;0,0407914288887327
172;8,435211984;16,3;0,0456408630292472;0,0400044692072655
173;8,75352187;16,2;0,0503287718778879;0,043798805043715
174;8,75352187;15,9;0,0512204374492056;0,044767032562766
175;9,549296586;17,1;0,0634873046873227;0,0553661033354743
178;9,549296586;17,8333333333333;0,0668637768034532;0,0589859294363606
179;9,708451529;17,3;0,0617588820074006;0,0515981098439105
180;10,18591636;19,3;0,084556136577832;0,0750823135447208
181;10,82253613;17,9;0,0791402928019829;0,0674939454175051
182;10,98169107;19;0,0900714521956113;0,0780739189722951
183;11,14084602;19,8;0,099064303316095;0,0858167723008779
184;11,30000096;20,3;0,102870593259463;0,0907562038440539
185;11,4591559;19,5;0,102216466427396;0,0884478889502593
186;11,93662073;21,1;0,120772739122279;0,104666701462095
187;12,09577567;21;0,12611755999552;0,110596858623423
188;13,20986028;21,3;0,142326496258255;0,123345573631989
189;13,36901522;21,2;0,152226928404045;0,13305439073834
190;13,36901522;21,3;0,145741662877021;0,127247496893214
191;13,68732511;21,8;0,155873566031602;0,134534351361929
192;13,84648005;21,66;0,168969630551335;0,151987842900797
193;14,00563499;21,9;0,168467496694415;0,147699775393817
194;14,32394488;21,8;0,179210256345966;0,153852289453306
195;14,48309982;21,8;0,175990054548487;0,153727654041742
196;14,64225476;22,3;0,182021529572827;0,15675238789381
197;14,96056465;21,83;0,192813229361327;0,166764669547251
198;14,96056465;22,57;0,19371901996858;0,168252522103369
199;15,11971959;22,3;0,187627961374236;0,163433124132045
200;15,27887454;21,66;0,195668767534752;0,168650745320735
