ARVORE;DAP;HT;hi;di_cc;e_casca
10;14,96056465;22,25;12;9,549296586;3
10;14,96056465;22,25;14;8,594366927;2
10;14,96056465;22,25;16;7,639437268;1
10;14,96056465;22,25;18;4,61549335;1
10;14,96056465;22,25;20;3,183098862;1
10;14,96056465;22,25;22;0,795774715;1
11;15,11971959;26,9;0,1;17,02957891;8
11;15,11971959;26,9;0,5;16,07464925;7
11;15,11971959;26,9;1;15,27887454;6
11;15,11971959;26,9;1,5;15,11971959;6
11;15,11971959;26,9;2;14,64225476;6
11;15,11971959;26,9;4;14,32394488;5
11;15,11971959;26,9;6;13,52817016;4
11;15,11971959;26,9;8;12,73239545;4
11;15,11971959;26,9;10;12,09577567;3
11;15,11971959;26,9;12;10,82253613;3
11;15,11971959;26,9;14;10,3450713;3
11;15,11971959;26,9;16;9,071831756;2
11;15,11971959;26,9;18;7,957747155;2
11;15,11971959;26,9;20;7,002817496;2
11;15,11971959;26,9;22;5,888732894;2
11;15,11971959;26,9;24;4,13802852;2
11;15,11971959;26,9;26;1,909859317;1
12;15,27887454;27,75;0,1;16,87042397;6
12;15,27887454;27,75;0,5;15,59718442;5
12;15,27887454;27,75;1;15,43802948;6
12;15,27887454;27,75;1,5;15,27887454;5
12;15,27887454;27,75;2;15,11971959;5
12;15,27887454;27,75;4;14,64225476;5
12;15,27887454;27,75;6;13,36901522;3
12;15,27887454;27,75;8;12,5732405;3
12;15,27887454;27,75;10;11,77746579;3
12;15,27887454;27,75;12;10,66338119;3
12;15,27887454;27,75;14;9,549296586;3
12;15,27887454;27,75;16;8,594366927;3
12;15,27887454;27,75;18;7,002817496;2
12;15,27887454;27,75;20;5,411268065;2
12;15,27887454;27,75;22;3,978873577;1
12;15,27887454;27,75;24;2,387324146;1
13;15,91549431;29,3;0,1;18,14366351;7
13;15,91549431;29,3;0,5;16,87042397;5
13;15,91549431;29,3;1;16,2338042;5
13;15,91549431;29,3;1,5;15,91549431;5
13;15,91549431;29,3;2;15,75633937;5
13;15,91549431;29,3;4;15,27887454;4
13;15,91549431;29,3;6;14,48309982;3
13;15,91549431;29,3;8;13,68732511;3
13;15,91549431;29,3;10;12,73239545;3
13;15,91549431;29,3;12;12,09577567;2
13;15,91549431;29,3;14;11,4591559;2
13;15,91549431;29,3;16;10,3450713;2
13;15,91549431;29,3;18;9,230986699;2
13;15,91549431;29,3;20;7,957747155;2
13;15,91549431;29,3;22;6,843662553;2
13;15,91549431;29,3;24;5,411268065;2
13;15,91549431;29,3;26;3,819718634;2
13;15,91549431;29,3;28;2,06901426;1
14;15,91549431;26,8;0,1;18,14366351;8
14;15,91549431;26,8;0,5;16,87042397;7
14;15,91549431;26,8;1;15,91549431;6
14;15,91549431;26,8;1,5;15,59718442;6
14;15,91549431;26,8;2;15,27887454;5
14;15,91549431;26,8;4;14,64225476;4
14;15,91549431;26,8;6;14,00563499;4
14;15,91549431;26,8;8;13,05070533;4
14;15,91549431;26,8;10;12,41408556;3
14;15,91549431;26,8;12;11,4591559;2
14;15,91549431;26,8;14;10,02676141;3
14;15,91549431;26,8;16;8,912676813;3
14;15,91549431;26,8;18;8,276057041;2
14;15,91549431;26,8;20;6,68450761;2
14;15,91549431;26,8;22;5,888732894;2
14;15,91549431;26,8;24;4,456338407;2
14;15,91549431;26,8;26;1,273239545;1
15;16,2338042;26,6;0,1;17,50704374;7
15;16,2338042;26,6;0,5;16,87042397;6
15;16,2338042;26,6;1;16,55211408;6
15;16,2338042;26,6;1,5;16,07464925;5
15;16,2338042;26,6;2;15,27887454;5
15;16,2338042;26,6;4;14,64225476;4
15;16,2338042;26,6;6;13,68732511;4
15;16,2338042;26,6;8;13,05070533;4
15;16,2338042;26,6;10;12,41408556;3
15;16,2338042;26,6;12;11,77746579;3
15;16,2338042;26,6;14;10,66338119;3
15;16,2338042;26,6;16;9,549296586;3
15;16,2338042;26,6;18;8,75352187;3
15;16,2338042;26,6;20;7,321127382;2
15;16,2338042;26,6;22;5,729577951;2
15;16,2338042;26,6;24;3,342253805;2
15;16,2338042;26,6;26;0,954929659;1
16;16,55211408;27,3;0,1;18,78028328;8
16;16,55211408;27,3;0,5;18,14366351;8
16;16,55211408;27,3;1;17,02957891;6
16;16,55211408;27,3;1,5;16,55211408;6
16;16,55211408;27,3;2;16,2338042;5
16;16,55211408;27,3;4;15,27887454;5
16;16,55211408;27,3;6;14,32394488;4
16;16,55211408;27,3;8;13,68732511;4
16;16,55211408;27,3;10;12,89155039;4
16;16,55211408;27,3;12;11,61831085;3
16;16,55211408;27,3;14;10,66338119;3
16;16,55211408;27,3;16;9,549296586;2
16;16,55211408;27,3;18;8,75352187;2
16;16,55211408;27,3;20;6,843662553;2
16;16,55211408;27,3;22;5,570423008;2
16;16,55211408;27,3;24;4,297183463;2
16;16,55211408;27,3;26;2,228169203;1
17;17,18873385;30,4;0,1;18,4619734;9
17;17,18873385;30,4;0,5;17,82535363;6
17;17,18873385;30,4;1;17,18873385;6
17;17,18873385;30,4;1,5;16,87042397;7
