"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca";"di_sc";"AS_CC";"AS_SC";"VCC";"VSC"
4;13,20986028;19,4;4;12,5732405;3;11,9732405;0,0124160749895435;0,0112593493238273;0,0233102308464033;0,0210717795144563
4;13,20986028;19,4;6;11,77746579;3;11,17746579;0,0108941558568598;0,009812430190629;0,0200933115671482;0,0180198602348232
4;13,20986028;19,4;8;10,82253613;3;10,22253613;0,00919915571028845;0,00820743004419421;0,0158916210668242;0,0143324617713651
4;13,20986028;19,4;10;9,230986699;2;8,830986699;0,0066924653565358;0,00612503172717089;0,0112761277170892;0,0102412604583645
4;13,20986028;19,4;12;7,639437268;2;7,239437268;0,00458366236055341;0,0041162287311936;0,00776676122271551;0,00691189396394968
4;13,20986028;19,4;14;6,366197724;2;5,966197724;0,00318309886216209;0,00279566523275608;0,00474281730476152;0,00408795004594304
4;13,20986028;19,4;16;4,456338407;2;4,056338407;0,00155971844259943;0,00129228481318696;0,00194964805307428;0,00161535601632441
4;13,20986028;19,4;18;2,228169203;1;2,028169203;0,000389929610474856;0,000323071203137448;NA;NA
5;13,36901522;23,7;0,1;15,43802948;6;14,23802948;0,0187186107446045;0,0159217080801175;0,0068249618462618;0,00576020078054891
5;13,36901522;23,7;0,5;14,00563499;6;12,80563499;0,0154061984867045;0,0128792958226271;0,00744496981967943;0,00620401848767486
5;13,36901522;23,7;1;13,52817016;6;12,32817016;0,0143736807920132;0,0119367781280723;0,00693766343790985;0,0058355727261484
5;13,36901522;23,7;1,5;13,05070533;5;12,05070533;0,0133769729596262;0,0114055127765213;0,00660741693226303;0,0057221182571151
5;13,36901522;23,7;2;12,89155039;4;12,09155039;0,0130526947694259;0,0114829602519391;0,0248480654930278;0,0217885964577567
5;13,36901522;23,7;4;12,25493062;4;11,45493062;0,0117953707236019;0,0103056362058176;0,022397079378143;0,0194976103422768
5;13,36901522;23,7;6;11,61831085;4;10,81831085;0,0106017086545411;0,00919197413645925;0,0195322904035471;0,0168328213675654
5;13,36901522;23,7;8;10,66338119;4;9,86338119;0,00893058174900602;0,0076408472311062;0,0165779767650405;0,0138167820634329
5;13,36901522;23,7;10;9,867606472;5;8,867606472;0,00764739501603443;0,00617593483232666;0,0138862687850321;0,0116030829352204
5;13,36901522;23,7;12;8,912676813;3;8,312676813;0,0062388737689977;0,00542714810289378;0,011212465741126;0,00967901440886617
5;13,36901522;23,7;14;7,957747155;3;7,357747155;0,00497359197212827;0,00425186630597239;0,00848295846745198;0,00715950713516517
5;13,36901522;23,7;16;6,68450761;3;6,08450761;0,00350936649532371;0,00290764082919278;0,00594642656122906;0,00484797522900083
5;13,36901522;23,7;18;5,570423008;3;4,970423008;0,00243706006590535;0,00194033439980805;0,00388735948450546;0,00313320018905275
5;13,36901522;23,7;20;4,297183463;2;3,897183463;0,0014502994186001;0,0011928657892447;0,00184022902907496;0,00151593699238214
5;13,36901522;23,7;22;2,228169203;1;2,028169203;0,000389929610474856;0,000323071203137448;NA;NA
6;13,52817016;21,5;0,1;14,96056465;7;13,56056465;0,0175786634630002;0,0144426015031664;0,00673862029098915;0,00559402736606305
6;13,52817016;21,5;0,5;14,32394488;6;13,12394488;0,0161144379919456;0,0135275353271488;0,0076220296959897;0,00646368898398584
6;13,52817016;21,5;1;13,52817016;5;12,52817016;0,0143736807920132;0,0123272206087945;0,00710278669332701;0,00618373801812787
6;13,52817016;21,5;1,5;13,36901522;4;12,56901522;0,0140374659812948;0,012407731463717;0,00685360973523026;0,00604874247656122
6;13,52817016;21,5;2;13,05070533;4;12,25070533;0,0133769729596262;0,0117872384425279;0,0248679598413914;0,0221664996586451
6;13,52817016;21,5;4;12,09577567;3;11,49577567;0,0114909868817652;0,0103792612161172;0,0212392271523866;0,0191057758202847
6;13,52817016;21,5;6;11,14084602;3;10,54084602;0,00974824027062141;0,00872651460416751;0,0178969733603164;0,0162478140643437
6;13,52817016;21,5;8;10,18591636;2;9,78591636;0,00814873308969496;0,0075212994601762;0,0148411984462308;0,0136463311873471
6;13,52817016;21,5;10;9,230986699;2;8,830986699;0,0066924653565358;0,00612503172717089;0,0120719024333297;0,0109970351745653
6;13,52817016;21,5;12;8,276057041;2;7,876057041;0,00537943707679394;0,00487200344739438;0,00888880357211764;0,00797393631332363
6;13,52817016;21,5;14;6,68450761;2;6,28450761;0,00350936649532371;0,00310193286592924;0,00623290545861365;0,00546803819985869
6;13,52817016;21,5;16;5,888732894;2;5,488732894;0,00272353896328994;0,00236610533392944;0,00360088058712087;0,00314158855041175
6;13,52817016;21,5;18;3,342253805;1;3,142253805;0,000877341623830927;0,000775483216482311;0,00107628530271606;0,000927568488018486
6;13,52817016;21,5;20;1,591549431;1;1,391549431;0,000198943678885131;0,000152085271536174;NA;NA
7;13,68732511;22,7;0,1;15,27887454;6;14,07887454;0,0183346494518137;0,0155677467867438;0,00703464848413823;0,00603697591453215
7;13,68732511;22,7;0,5;14,64225476;5;13,64225476;0,0168385929688775;0,0146171327859169;0,00788811686663294;0,00681488677481684
7;13,68732511;22,7;1;13,68732511;5;12,68732511;0,0147138744976543;0,0126424143133505;0,00727188882241687;0,00624240873053625
7;13,68732511;22,7;1,5;13,52817016;5;12,52817016;0,0143736807920132;0,0123272206087945;0,00710278669332701;0,00608580660159625
7;13,68732511;22,7;2;13,36901522;5;12,36901522;0,0140374659812948;0,0120160057975905;0,0261411994011562;0,022610004700056
7;13,68732511;22,7;4;12,41408556;4;11,61408556;0,0121037334198614;0,0105939989024655;0,0229978892767211;0,020058420241632
7;13,68732511;22,7;6;11,77746579;4;10,97746579;0,0108941558568598;0,00946442133916644;0,0200933115671482;0,0176718513833607
7;13,68732511;22,7;8;10,82253613;3;10,22253613;0,00919915571028845;0,00820743004419421;0,0168465507263229;0,0149530993940824
7;13,68732511;22,7;10;9,867606472;3;9,267606472;0,00764739501603443;0,00674566934988823;0,0138862687850321;0,0119148086013617
7;13,68732511;22,7;12;8,912676813;4;8,112676813;0,0062388737689977;0,0051691392514735;0,0116183108457916;0,00979685066212888
7;13,68732511;22,7;14;8,276057041;3;7,676057041;0,00537943707679394;0,00462771141065538;0,0095890853213133;0,00817563398907846
7;13,68732511;22,7;16;7,321127382;3;6,721127382;0,00420964824451937;0,00354792257842309;0,00664670831042472;0,00564754901495639
7;13,68732511;22,7;18;5,570423008;2;5,170423008;0,00243706006590535;0,0020996264365333;0,00388735948450546;0,003292492225778
7;13,68732511;22,7;20;4,297183463;2;3,897183463;0,0014502994186001;0,0011928657892447;0,00184022902907496;0,00151593699238214
7;13,68732511;22,7;22;2,228169203;1;2,028169203;0,000389929610474856;0,000323071203137448;NA;NA
8;14,32394488;25,45;0,1;15,59718442;5;14,59718442;0,019106550910818;0,0167350907276298;0,00733704287476362;0,006408458801414
8;14,32394488;25,45;0,5;14,96056465;5;13,96056465;0,0175786634630002;0,0153072032794401;0,00842327536373644;0,00731254527186346
8;14,32394488;25,45;1;14,32394488;5;13,32394488;0,0161144379919456;0,0139429778080137;0,00788015911966253;0,00680692902784644
8;14,32394488;25,45;1,5;14,00563499;5;13,00563499;0,0154061984867045;0,0132847383033721;0,00761606138554315;0,00666326271029281
